企业名称,唯你网,百度,阿里,华为,科大讯飞,易道博识,Answer,睿琪票据
1.发票抬头名称,BillTitle,NotAvailable,NotAvailable,NotAvailable,NotAvailable,NotAvailable,BillTitle,NotAvailable
2.发票代码,InvoiceCode,InvoiceCode,发票代码,code,vat_invoice_daima,invoice_code1,InvoiceCode,code
3.发票号码,InvoiceNO,InvoiceNum,发票号码,number,vat_invoice_haoma,invoice_no1,InvoiceNO,number
4.开票日期,IssueDate,InvoiceDate,开票日期,issue_date,vat_invoice_issue_date,create_date,IssueDate,date
5.校验码,VCode,CheckCode,校验码,check_code,vat_invoice_correct_code,check_code,VCode,check_code
6.购买方名称,PayingCorp,PurchaserName,受票方名称,buyer_name,vat_invoice_payer_name,buyer_name,PayingCorp,buyer
7.购买方纳税人识别号,PayingTaxCode,PurchaserRegisterNum,受票方税号,buyer_id,vat_invoice_rate_payer_id,buyer_tax_no,PayingTaxCode,buyer_tax_id
8.购买方地址、电话,PayingAddressPhone,PurchaserAddress,受票方地址、电话,buyer_address,vat_invoice_payer_addr_tell,buyer_address,PayingAddressPhone,NotAvailable
9.购买方开户行及帐号,PayingAccountBank,PurchaserBank,受票方开户行、账号,buyer_bank,vat_invoice_payer_bank_account,buyer_bank_info,PayingAccountBank,NotAvailable
11.货物或应税劳务、服务名称,ItemContent,CommodityName,NotAvailable,name,vat_invoice_goods_list,NotAvailable,ItemContent,NotAvailable
12.规格型号,ItemStandard,CommodityType,NotAvailable,specification,NotAvailable,NotAvailable,ItemStandard,NotAvailable
13.单位,ItemUnit,CommodityUnit,NotAvailable,unit,NotAvailable,NotAvailable,ItemUnit,NotAvailable
14.数量,ItemQuantity,CommodityNum,NotAvailable,quantity,NotAvailable,NotAvailable,ItemQuantity,NotAvailable
15.单价,ItemUnitAmount,CommodityPrice,NotAvailable,unit_price,NotAvailable,NotAvailable,ItemUnitAmount,NotAvailable
16.金额,ItemAmount,CommodityAmount,NotAvailable,amount,vat_invoice_price_list,NotAvailable,ItemAmount,NotAvailable
17.税率,TaxRate,CommodityTaxRate,NotAvailable,tax_rate,vat_invoice_tax_rate,NotAvailable,TaxRate,NotAvailable
18.税额,ItemTaxAmount,CommodityTax,NotAvailable,tax,vat_invoice_tax_list,NotAvailable,ItemTaxAmount,NotAvailable
19.合计金额,SubTotalAmount,TotalAmount,不含税金额,subtotal_amount,vat_invoice_total,total,SubTotalAmount,pretax_amount
20.合计税额,TotalTax,TotalTax,发票税额,subtotal_tax,vat_invoice_tax_total,total_tax,TotalTax,NotAvailable
21.价税合计(大写),TotalAmountCap,AmountInWords,大写金额,NotAvailable,vat_invoice_total_cover_tax,amount_big,TotalAmountCap,NotAvailable
22.价税合计(小写),TotalAmount,AmountInFiguers,发票金额,total,vat_invoice_total_cover_tax_digits,amount_small,TotalAmount,total
23.销售方名称,DrawingCorp,SellerName,销售方名称,seller_name,vat_invoice_seller_name,seller_name,DrawingCorp,seller
24.销售方纳税人识别号,DrawingTaxCode,SellerRegisterNum,销售方税号,seller_id,vat_invoice_seller_id,seller_tax_no,DrawingTaxCode,seller_tax_id
25.销售方地址、电话,DrawingAddressPhone,SellerAddress,销售方地址、电话,seller_address,vat_invoice_seller_addr_tell,seller_address,DrawingAddressPhone,NotAvailable
26.销售方开户行及帐号,DrawingAccountBank,SellerBank,销售方开户行、账号,seller_bank,vat_invoice_seller_bank_account,seller_bank_info,DrawingAccountBank,NotAvailable
27.备注,Summary,Remarks,NotAvailable,NotAvailable,vat_invoice_total_note,NotAvailable,Summary,NotAvailable
28.收款人,ReceiverName,Payee,NotAvailable,NotAvailable,NotAvailable,receiver,ReceiverName,NotAvailable
29.复核,AuditName,Checker,NotAvailable,NotAvailable,NotAvailable,check,AuditName,NotAvailable
30.开票人,DrawingName,NoteDrawer,NotAvailable,NotAvailable,NotAvailable,creator,DrawingName,NotAvailable
